"year","region","life_expectancy_log_zscore","mortality_log_zscore","gdp_log_zscore","schooling_log_zscore"
2010,"Americas","0.35505131574799104","-1.7916805789583616","0.13075997203636228","-0.01743186987399605"
2009,"Americas","0.2991653629742328","0.38689949352838743","0.15618662965076044","-0.04521731180953415"
2008,"Americas","0.2710466532295873","0.39803600647805304","0.1651393349980897","-0.07324542536166626"
2007,"Americas","0.26164776485062946","0.40903834130689287","0.18174509609851802","-0.10152021593866425"
2022,"Africa","-0.5258108015842189","0.6893454509865727","-0.46834398286026757","-0.15882858105406167"
2021,"Africa","-0.5576131818152085","-1.4013460805214148","-0.38407921723699207","-0.15882858105406167"
2020,"Africa","-0.5895668820390177","0.7131689606410284","-0.39605812874043045","-0.21717925308704517"
2019,"Africa","-0.6324099793763366","0.7287128720060158","-0.42555431003890537","-0.24675704745730132"
2018,"Africa","-0.664722423789799","0.7439966219777673","-0.3986147593258857","-0.3067435259536716"
2017,"Africa","-0.7080492373805589","0.7627484665858419","-0.43920790055380754","-0.3371626967514895"
2016,"Africa","-0.762603617629746","0.7811229847759567","-0.432337286408248","-0.39887966068803077"
2015,"Africa","-0.7955501603626908","0.7955609573742916","-0.42085718554136897","-0.43018916316917777"
2014,"Africa","-0.2664887302765753","0.8097742053009196","-1.691349469159897","-0.4937394235206862"
2013,"Africa","-0.5788988819546717","0.820290821465721","-0.5302484629477068","-0.5259929473798891"
2012,"Africa","-0.9065544594635178","0.8341271883535014","-0.5520250986658399","-0.5914887582063938"
2011,"Africa","-0.9289772945023297","0.8443685975010518","-0.5571796928611974","-0.6583491615105266"
2010,"Africa","-0.9514752483447493","0.8511329450544173","-0.6223018651568948","-0.7613266077171692"
2009,"Africa","-0.9627523371548004","0.8511329450544173","-0.7446363975770733","-0.9039804593915929"
2008,"Africa","-0.9627523371548004","0.8544964212111069","-0.7921366909466675","-1.0152929466944887"
2022,"Americas","0.9917429453080291","-0.1061034964744658","-0.22705930524132972","0.631583764212544"
2021,"Americas","0.983301077714047","-0.09654128612666525","-0.03419516275420706","0.5630575645831812"
2020,"Americas","0.9748485848954856","-0.09654128612666525","-0.05965661055052497","0.5165468473937974"
2019,"Americas","0.9579109694428336","-0.0870781678243384","0.9241373828131008","0.49303635454008143"
2018,"Americas","0.9409311756895038","-0.07771210885612659","0.8798431751385507","0.445491802727249"
2017,"Americas","0.8639849897771896","-1.7327451151215467","0.8193389233455194","0.4214529789653463"
2016,"Americas","0.9579109694428336","-0.09654128612666525","-0.49762356862082907","0.3728280611948916"
2022,"Europe","0.663244044663391","0.20799749606420373","1.0378670736562718","0.9333403034668345"
2021,"Europe","0.6455009409874858","0.2282163901516795","1.1083275746844967","0.9742221708222875"
2020,"Europe","0.6366121179953741","0.24145115433145362","1.0889964269093608","0.8919307153848397"
2019,"Europe","0.5919899791108422","0.28631827771503526","1.0576211042989885","0.8919307153848397"
2018,"Europe","0.5740580469998613","-1.7916805789583616","-0.10230625734613796","0.8919307153848397"
2017,"Europe","0.5470693621625533","0.3468160734028523","-0.1494785791162613","0.8710240097578686"
2016,"Europe","0.5199717773937474","0.38127988967594867","1.0631036141824657","0.8710240097578686"
2015,"Europe","0.5109151274309865","0.39803600647805304","1.1637567558096744","0.8710240097578686"
2014,"Europe","0.4563165325043378","0.4569714703148684","1.097867025827114","0.8710240097578686"
2013,"Europe","0.447173570367055","0.4621453240654221","0.9945669649575338","0.849980009438812"
2012,"Europe","0.40127040426289745","0.48758381422254427","0.9833940510948783","0.8074736493894159"
2015,"Americas","0.9324251521870323","-0.0684411384228233","0.7284591827044178","0.3234548019700619"
2014,"Americas","0.9324251521870323","-0.12553364957726867","-0.5597758484040296","0.29848060614461164"
2013,"Americas","0.8553808825298237","-1.7327451151215467","0.5817739781275946","0.24794124394330694"
2012,"Americas","0.9068415954976679","-0.0870781678243384","0.5230916040150082","0.19659297170113527"
2011,"Americas","0.8295015609442224","-1.9954514194903923","0.49148921760737363","0.14440997932857705"
2010,"Americas","0.8553808825298237","-4.26462529293985","0.45955065607768436","0.11799692554643453"
2009,"Americas","0.8811608580577543","-0.0684411384228233","-0.7101627295365518","0.0645090448839734"
2008,"Americas","0.812193549161771","-4.26462529293985","0.43527386800086004","0.010114804991602848"
2007,"Americas","0.8208531310042918","-0.07771210885612659","-0.8029896826908188","-0.01743186987399605"
2022,"Americas","0.949426439045156","-0.13540599161226308","-0.44407069990283804","0.5630575645831812"
2021,"Americas","0.9409311756895038","-0.12553364957726867","-1.6699326900871876","0.5860626709323508"
2020,"Americas","0.9153800644390437","-0.09654128612666525","-0.5077529822647378","0.7426393560618397"
2019,"Americas","0.9153800644390437","-0.09654128612666525","0.6897658969745907","0.9538462385676217"
2018,"Americas","0.9239083412454439","-0.13540599161226308","-0.5077529822647378","1.1133417733358921"
2017,"Americas","0.8553808825298237","-0.07771210885612659","0.6237693045910314","1.3204579812023496"
2016,"Americas","0.8639849897771896","-2.0749087075034347","0.6055667167872667","1.3386404572922248"
2015,"Americas","0.8467657374656111","-1.9954514194903923","0.5948926051711781","1.2279678265261298"
2014,"Americas","0.8639849897771896","-1.8546836786707004","0.5756556578559248","1.014589787698633"
2013,"Americas","0.8553808825298237","-1.8546836786707004","0.5200259374244088","0.7426393560618397"
2012,"Americas","0.7861469400081593","-1.5758144259156481","0.4075893939294472","0.631583764212544"
2011,"Americas","0.7948408144682632","-1.677383756607196","-0.8732161556993112","0.3972324975897761"
2010,"Americas","0.8035227866194076","-1.6251876794046625","0.31784486911666887","0.3234548019700619"
2009,"Americas","0.8295015609442224","-1.5758144259156481","0.2836246121538455","0.22236980585393698"
2008,"Americas","0.742510610646178","0.06836484891976764","0.2540433311162864","0.17060766398858632"
2007,"Americas","0.7599995813873797","0.06836484891976764","0.23667526649790738","0.11799692554643453"
2011,"Europe","0.40127040426289745","-1.6251876794046625","-0.17662860275325917","0.8710240097578686"
2010,"Europe","0.36432047477864044","0.4975640528423123","0.8319650413931651","0.7860073580465698"
2009,"Europe","0.36432047477864044","0.4975640528423123","-0.5156782874850354","0.7207336879153307"
2008,"Europe","0.3457693453555614","0.5025135649275277","-0.6391536542713131","0.631583764212544"
2007,"Europe","0.2898050589049065","0.5411725754591837","0.5147618973829241","0.5630575645831812"
2022,"Europe","1.2483160185331093","-0.7106821533107024","0.6291756845446633","1.566089279083415"
2021,"Europe","1.2320557082977812","-0.7106821533107024","1.8064715307168067","1.566089279083415"
